No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
1820,KS4_19,PT5EM_94,,,,,,,,,,0%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,57%,,,,,100%,0%,21%,82%,47%,0%,52%,,80%,,60%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs
1821,KS4_19,PT5EM_94_17,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,88%,86%,84%,45%,0%,56%,NA,57%,,61%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs in 2017
1822,KS4_19,PT5EM_94_18,,,,,,,,,,0%,,,,,,0%,,,,,,,,,,,,,,,,,,,,,0%,,,,,1%,1%,1%,1%,1%,0%,1%,0%,0%,,1%,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs
1823,KS4_19,PTANYQ_PTQ_EE,,,,,,,,,,99%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,100%,,,,,100%,78%,100%,100%,99%,100%,100%,,90%,,98%,Percentage of pupils achieving any qualifications
1824,KS4_19,PTL2BASICS_94_17,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,94%,86%,84%,46%,0%,57%,NA,57%,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2017
1825,KS4_19,PTL2BASICS_95_17,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,NA,,,,,99%,65%,64%,68%,28%,0%,34%,NA,57%,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2017
1826,KS4_19,PTL2BASICS_94_18,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,100%,78%,83%,83%,53%,0%,46%,NA,22%,,64%,% of pupils achieving 9-4 passes in GCSE English and maths in 2018
1827,KS4_19,PTL2BASICS_95_18,,,,,,,,,,0%,,,,,,SUPP,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,100%,61%,61%,68%,34%,0%,27%,NA,11%,,43%,% of pupils achieving 9-5 passes in GCSE English and maths in 2018
1828,KS4_19,PTFSM6CLA1ABASICS_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,100%,NP,NP,68%,44%,NP,54%,,NP,,45%,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1829,KS4_19,PTNOTFSM6CLA1ABASICS_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,100%,NP,NP,91%,58%,NP,59%,,NP,,72%,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths
1830,KS4_19,TBASICSLO_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,3,2,NP,2,,NP,,5021,Number of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1831,KS4_19,PTBASICSLO_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,25%,6%,NP,9%,,NP,,8%,% of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths
1832,KS4_19,TBASICSAV_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,55,46,NP,24,,NP,,122104,Number of pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1833,KS4_19,PTBASICSAV_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,75%,43%,NP,49%,,NP,,53%,% pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths
1834,KS4_19,TBASICSHI_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,152,NP,NP,65,50,NP,32,,NP,,207459,Number of pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1835,KS4_19,PTBASICSHI_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,100%,NP,NP,100%,100%,NP,94%,,NP,,93%,% pupils in high prior attainment band who achieved standard 9-4 passes in English and maths
1836,KS4_19,PBL2BASICS_94,,,,,,,,,,NE,,,,,,NE,,,,,,,,,,,,,,,,,,,,,79%,,,,,NE,0%,42%,NE,51%,0%,54%,,NE,,61%,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs 
1837,KS4_19,PGL2BASICS_94,,,,,,,,,,0%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,43%,,,,,100%,NE,NE,82%,51%,0%,58%,,80%,,68%,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs 
1838,KS4_19,PTL2BASICSEAL_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,100%,NP,NP,89%,50%,NP,53%,,NP,,64%,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language
1839,KS4_19,PTL2BASICSNMOB_94,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,100%,NP,NP,82%,51%,NP,56%,,NP,,66%,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs
1840,KS4_19,PTFSM6CLA1ABASICS_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,100%,NP,NP,53%,27%,NP,37%,,NP,,25%,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1841,KS4_19,PTNOTFSM6CLA1ABASICS_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,99%,NP,NP,83%,40%,NP,44%,,NP,,50%,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths
1842,KS4_19,TBASICSLO_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,0,0,NP,0,,NP,,1151,Number of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1843,KS4_19,PTBASICSLO_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,0%,0%,NP,0%,,NP,,2%,% of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths
1844,KS4_19,TBASICSAV_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,43,24,NP,12,,NP,,51234,Number of pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1845,KS4_19,PTBASICSAV_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,59%,22%,NP,25%,,NP,,22%,% pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths
1846,KS4_19,TBASICSHI_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,151,NP,NP,64,39,NP,28,,NP,,171126,Number of pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1847,KS4_19,PTBASICSHI_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,99%,NP,NP,99%,78%,NP,82%,,NP,,77%,% pupils in high prior attainment band who achieved strong 9-5 passes in English and maths
1848,KS4_19,PBL2BASICS_95,,,,,,,,,,NE,,,,,,NE,,,,,,,,,,,,,,,,,,,,,57%,,,,,NE,0%,5%,NE,38%,0%,35%,,NE,,40%,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs 
1849,KS4_19,PGL2BASICS_95,,,,,,,,,,0%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,14%,,,,,99%,NE,NE,71%,28%,0%,42%,,60%,,47%,% of girls achieving strong 9-5 passes in both English and mathematics GCSEs 
1850,KS4_19,PTL2BASICSEAL_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,97%,NP,NP,77%,31%,NP,38%,,NP,,44%,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs and for whom English is an additional language
1851,KS4_19,PTL2BASICSNMOB_95,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,99%,NP,NP,72%,33%,NP,39%,,NP,,44%,% of non-mobile pupils achieving strong 9-5 passes in both English and mathematics GCSEs
1852,KS4_19,PTFSM6CLA1ABASICS_94_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,71%,39%,NA,53%,NA,NA,,44%,% of disadvantaged pupils achieving 9-4 in GCSE English and maths in 2017
1853,KS4_19,PTFSM6CLA1ABASICS_95_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,50%,27%,NA,31%,NA,NA,,25%,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017
1854,KS4_19,PTNOTFSMBASICS_94_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,90%,54%,NA,66%,NA,NA,,71%,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017
1855,KS4_19,PTNOTFSM6CLA1ABASICS_95_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,99%,NA,NA,77%,29%,NA,39%,NA,NA,,49%,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2017
1856,KS4_19,PTFSM6CLA1ABASICS_94_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,73%,47%,NA,49%,NA,NA,,45%,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2018
1857,KS4_19,PTFSM6CLA1ABASICS_95_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,52%,30%,NA,30%,NA,NA,,25%,% of disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2018
1858,KS4_19,PTNOTFSM6CLA1ABASICS_94_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,89%,60%,NA,39%,NA,NA,,72%,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2018
1859,KS4_19,PTNOTFSM6CLA1ABASICS_95_18,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,100%,NA,NA,78%,39%,NA,21%,NA,NA,,50%,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2018
1860,KS4_19,PTMULTILAN_E,,,,,,,,,,26%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,0%,,,,,17%,0%,0%,4%,2%,4%,4%,,0%,,3%,Percentage of pupils entering more than one language
1861,KS4_19,PTTRIPLESCI_E,,,,,,,,,,79%,,,,,,NE,,,,,,,,,,,,,,,,,,,,,62%,,,,,100%,0%,0%,21%,8%,0%,23%,,0%,,27%,"Percentage of pupils entering biology, chemistry and physics"
1862,KS4_19,TFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,9,NA,NA,56,103,NA,74,NA,NA,,143544,Number of disadvantaged pupils at the end of key stage 4 in 2017
1863,KS4_19,PTFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,7%,NA,NA,35%,53%,NA,66%,NA,NA,,27%,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2017
1864,KS4_19,TNOTFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,119,NA,NA,104,93,NA,38,NA,NA,,384200,Number of non-disadvantaged pupils at the end of key stage 4 in 2017
1865,KS4_19,PTNOTFSM6CLA1A_17,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,93%,NA,NA,65%,47%,NA,34%,NA,NA,,73%,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2017
1866,KS4_19,TFSM6CLA1A_18,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,18,NP,NP,60,112,NP,76,NA,NP,,141134,Number of disadvantaged pupils in 2018
1867,KS4_19,PTFSM6CLA1A_18,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,14%,NP,NP,38%,54%,NP,67%,NA,NP,,27%,% of pupils who were disadvantaged in 2018
1868,KS4_19,TNOTFSM6CLA1A_18,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,109,NP,NP,99,94,NP,38,NA,NP,,382502,Number of non-disadvantaged pupils in 2018
1869,KS4_19,PTNOTFSM6CLA1A_18,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,86%,NP,NP,62%,46%,NP,33%,NA,NP,,73%,% of pupils who were not disadvantaged in 2018
1870,KS4_19,TAVENT_E_3NG_PTQ_EE,,,,,,,,,,6.5,,,,,,NE,,,,,,,,,,,,,,,,,,,,,7.4,,,,,10.8,1,7.9,8.1,7.9,6,8.9,,6.4,,8.2,Average number of KS4 entries per pupil
1871,KS4_19,TAVENT_E_3NG_LO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,7.4,7.1,NP,7.7,,NP,,6.2,Average number of KS4 entries per pupil with low prior attainment
1872,KS4_19,TAVENT_E_3NG_AV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,7.9,8,NP,9,,NP,,8,Average number of KS4 entries per pupil with middle prior attainment
1873,KS4_19,TAVENT_E_3NG_HI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,10.8,NP,NP,8.4,8.5,NP,9.6,,NP,,9,Average number of KS4 entries per pupil with high prior attainment
1874,KS4_19,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,10.8,NP,NP,7.9,7.8,NP,8.8,,NP,,7.4,Average number of KS4 entries per disadvantaged pupil
1875,KS4_19,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,10.8,NP,NP,8.2,8.1,NP,9.1,,NP,,8.4,Average number of KS4 entries per non-disadvantaged pupil
1876,KS4_19,TAVENT_EFSM6CLA1A_17_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,11,NA,NA,9.2,9,NA,8.3,NA,NA,,8.7,Average number of KS4 entries per disadvantaged pupil in 2017
1877,KS4_19,TAVENT_ENFSM6CLA1A_17_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,11.1,NA,NA,9,9.3,NA,8.2,NA,NA,,9.6,Average number of KS4 entries per non-disadvantaged pupil in 2017
1878,KS4_19,TAVENT_EFSM6CLA1A_18_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,10.9,NA,NA,8.3,7.8,NA,8.2,NA,NA,,7.6,Average number of KS4 entries per disadvantaged pupil in 2018
1879,KS4_19,TAVENT_ENFSM6CLA1A_18_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,11.2,NA,NA,8.3,8,NA,8.2,NA,NA,,8.5,Average number of KS4 entries per non-disadvantaged pupil in 2018
1880,KS4_19,TAVENT_G_PTQ_EE,,,,,,,,,,6.5,,,,,,NE,,,,,,,,,,,,,,,,,,,,,7.4,,,,,10.8,0,6.9,7.6,7.7,6,7.3,,6.4,,7.5,Average number of GCSE entries per pupil
1881,KS4_19,TAVENT_GLO_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,NE,NP,NP,6.3,6.9,NP,6.1,,NP,,5.4,Average number of GCSE entries per pupil with low prior attainment
1882,KS4_19,TAVENT_GAV_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,SUPP,NP,NP,7.4,7.8,NP,7,,NP,,7.1,Average number of GCSE entries per pupil with middle prior attainment
1883,KS4_19,TAVENT_GHI_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,10.8,NP,NP,8.2,8.2,NP,8.8,,NP,,8.5,Average number of GCSE entries per pupil with high prior attainment
1884,KS4_19,TAVENT_GFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,10.8,NP,NP,7.3,7.6,NP,7.3,,NP,,6.6,Average number of GCSE entries per disadvantaged pupil
1885,KS4_19,TAVENT_GNFSM6CLA1A_PTQ_EE,,,,,,,,,,NP,,,,,,NP,,,,,,,,,,,,,,,,,,,,,NP,,,,,10.8,NP,NP,7.9,7.8,NP,7.5,,NP,,7.8,Average number of GCSE entries per non-disadvantaged pupil
1886,KS4_19,TAVENT_GFSM6CLA1A_17_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,11,NA,NA,8.7,8.3,NA,7.8,NA,NA,,7.9,Average number of GCSE entries per disadvantaged pupil in 2017
1887,KS4_19,TAVENT_GNFSM6CLA1A_17_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,11.1,NA,NA,8.8,8.6,NA,7.8,NA,NA,,9,Average number of GCSE entries per non-disadvantaged pupil in 2017
1888,KS4_19,TAVENT_GFSM6CLA1A_18_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,10.9,NA,NA,7.8,7.4,NA,7,NA,NA,,6.9,Average number of GCSE entries per disadvantaged pupil in 2018
1889,KS4_19,TAVENT_GNFSM6CLA1A_18_PTQ_EE,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,11.1,NA,NA,8,7.7,NA,7.2,NA,NA,,8.1,Average number of GCSE entries per non-disadvantaged pupil in 2018
1890,KS4_19,P8_BANDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,3,,,,,Progress 8 banding shown on school performance tables website
1891,KS4_19,P8_BANDING_FULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,KS5_19,YEAR,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019,2019,2019,2019,2019,,,,,2019,
1893,KS5_19,RECTYPE,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,7,Record type: 1= school or college; 3= sixth form centre/consortium (see separate list of the sixth form centres and consortia and their feeder schools and colleges); 4= Local Authority; 5= National (all schools and colleges); 7= National (state-funded schools and colleges)
1894,KS5_19,ALPHAIND,,,,,,,,,,17300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29340,15030,28234,52616,8062,17764,,,,,,Alphabetic index
1895,KS5_19,REGION,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24,24,,,,,,Region code (see separate list of region and local authority codes)
1896,KS5_19,LASORT,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,Local authority sort code within region
1897,KS5_19,LEA,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,330,330,330,330,330,,,,,,LA number
1898,KS5_19,ESTAB,,,,,,,,,,6003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404,6078,6106,4606,4227,6111,,,,,,Establishment number
1899,KS5_19,URN,,,,,,,,,,103567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137047,103586,134571,103531,139841,134908,,,,,,Unique Reference Number of establishment
1900,KS5_19,PCON_CODE,,,,,,,,,,E14000560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E14000566,E14000568,E14000562,E14000560,E14000564,E14000560,,,,,,School parliamentary constituency code
1901,KS5_19,PCON_NAME,,,,,,,,,,"Birmingham, Edgbaston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham, Perry Barr","Birmingham, Yardley","Birmingham, Hall Green","Birmingham, Edgbaston","Birmingham, Ladywood","Birmingham, Edgbaston",,,,,,School parliamentary constituency name
1902,KS5_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Name of converter academy
1903,KS5_19,SCHNAME,,,,,,,,,,Edgbaston High School for Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King Edward VI Handsworth School,Darul Uloom Islamic High School,Jamia Islamia Birmingham,St Paul's School for Girls,Broadway Academy,Elmhurst Ballet School,,,,,,School/college name
1904,KS5_19,ADDRESS1,,,,,,,,,,Westbourne Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rose Hill Road,521-527 Coventry Road,Islamic College,Vernon Road,The Broadway,249 Bristol Road,,,,,,School/college address (1)
1905,KS5_19,ADDRESS2,,,,,,,,,,Edgbaston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fallows Road,Edgbaston,Perry Barr,,,,,,,School/college address (2)
1906,KS5_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparkbrook,,,Edgbaston,,,,,,School/college address (3)
1907,KS5_19,TOWN,,,,,,,,,,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,,,,Town where school/college is located
1908,KS5_19,PCODE,,,,,,,,,,B15 3TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B21 9AR,B10 0LL,B11 1PL,B16 9SL,B20 3DP,B5 7UH,,,,,,School/college postcode
1909,KS5_19,TELNUM,,,,,,,,,,01214545831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01215542342,01216886507,01217726400,01214540895,01215664334,01214726655,,,,,,School/college telephone number 
1910,KS5_19,CONTFLAG,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,Contingency flag: results significantly affected: 0= not significantly affected; 1= significantly affected
1911,KS5_19,NFTYPE/FESITYPE,,,,,,,,,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,IND,IND,VA,ACC,IND,,,,,,School type/FE college type
1912,KS5_19,RELDENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian,,,Roman Catholic,Does not apply,,,,,,,Religious character 
1913,KS5_19,ADMPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEL,,,NSE,NSE,,,,,,,Admissions policy
1914,KS5_19,ADMPOL_PT,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEL,NA,NA,OTHER NON SEL,OTHER NON SEL,NA,,,,,,Admissions policy - new definition from 2019 onwards
1915,KS5_19,GEND1618,,,,,,,,,,GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRLS,BOYS,BOYS,GIRLS,MIXED,MIXED,,,,,,"Gender of sixth form: girls, boys or mixed"
1916,KS5_19,FEEDER,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:0= not a feeder school/college; 1= feeder school/college
1917,KS5_19,AGERANGE,,,,,,,,,,2 to 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 to 18,11 to 17,11 to 19,11 to 18,11 to 18,11 to 19,,,,,,Age range
1918,KS5_19,ICLOSE,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,Closed school/college flag: 0= open; 1= closed
1919,KS5_19,TABKS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school is published in the primary school (Key Stage 2) performance tables:0= No; 1= Yes
1920,KS5_19,TAB15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 0= No; 1= Yes
1921,KS5_19,EXAMCONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college has confirmed their results: blank/null= confirmed; R= not confirmed
1922,KS5_19,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dummy field
1923,KS5_19,TPUP1618,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,1,26,153,168,53,,,,,,Number of 16-18 year old students in sixth form
1924,KS5_19,TALLPUP_1618,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,2,3,81,101,14,,,,,550933,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1925,KS5_19,TALLPUP_ALEV_1618,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,NE,1,62,68,10,,,,,247995,Number of students at the end of 16-18 study who entered for at least one AS or A level qualification
